"","Tagname"
"83","UVA/Data/Buildings/0202/ac_Buildings0202Floors2221SAFSP"
"84","UVA/Data/Buildings/0202/ac_Buildings0202Floors22401SAFSP"
"85","UVA/Data/Buildings/0202/ac_Buildings0202Floors22402SAFSP"
"86","UVA/Data/Buildings/0202/ac_Buildings0202Floors2245SAT"
"87","UVA/Data/Buildings/0202/ac_Buildings0202Floors2251SAFSP"
"88","UVA/Data/Buildings/0202/ac_Buildings0202Floors2251ZNT"
"89","UVA/Data/Buildings/0202/ac_Buildings0202Floors2253HWVO"
"90","UVA/Data/Buildings/0202/ac_Buildings0202Floors2253ZNT"
"91","UVA/Data/Buildings/0202/ac_Buildings0202Floors2259SAT"
"92","UVA/Data/Buildings/0202/ac_Buildings0202Floors2263HWVO"
"93","UVA/Data/Buildings/0202/ac_Buildings0202Floors2274SAF"
"94","UVA/Data/Buildings/0202/ac_Buildings0202Floors2276ZNT"
"95","UVA/Data/Buildings/0202/ac_Buildings0202Floors2277SAFSP"
"96","UVA/Data/Buildings/0202/ac_Buildings0202Floors2281SAF"
"97","UVA/Data/Buildings/0202/ac_Buildings0202Floors2285SAF"
"98","UVA/Data/Buildings/0202/ac_Buildings0202EquipmentAHU2ERFNC"
"99","UVA/Data/Buildings/0202/ac_Buildings0202EquipmentAHU2WOADO"
"100","UVA/Data/Buildings/0202/ac_Buildings0202EquipmentAHU2WOCCSTS"
"101","UVA/Data/Buildings/0202/ac_Buildings0202EquipmentAHU2WSFNVFDO"
"102","UVA/Data/Buildings/0202/ac_Buildings0202Floors22011SAF"
"103","UVA/Data/Buildings/0202/ac_Buildings0202Floors22011SAFSP"
"104","UVA/Data/Buildings/0202/ac_Buildings0202Floors2213SAFSP"
"105","UVA/Data/Buildings/0202/ac_Buildings0202Floors2217SAF"
"106","UVA/Data/Buildings/0202/ac_Buildings0202Floors2221ZNT"
"107","UVA/Data/Buildings/0202/ac_Buildings0202Floors2225SAT"
"108","UVA/Data/Buildings/0202/ac_Buildings0202Floors22402ZNT"
"109","UVA/Data/Buildings/0202/ac_Buildings0202Floors2247SAT"
"110","UVA/Data/Buildings/0202/ac_Buildings0202Floors2261DO"
"111","UVA/Data/Buildings/0202/ac_Buildings0202Floors2267HWVO"
"112","UVA/Data/Buildings/0202/ac_Buildings0202Floors2269SAT"
"113","UVA/Data/Buildings/0202/ac_Buildings0202Floors2277HWVO"
"114","UVA/Data/Buildings/0202/ac_Buildings0202Floors2281SAT"
"115","UVA/Data/Buildings/0202/ac_Buildings0202EquipmentAHU2ERAH"
"116","UVA/Data/Buildings/0202/ac_Buildings0202Floors22011ZNT"
"117","UVA/Data/Buildings/0202/ac_Buildings0202Floors2204DO"
"118","UVA/Data/Buildings/0202/ac_Buildings0202Floors2204HWVO"
"119","UVA/Data/Buildings/0202/ac_Buildings0202Floors2217ZNT"
"120","UVA/Data/Buildings/0202/ac_Buildings0202Floors2231SAFSP"
"121","UVA/Data/Buildings/0202/ac_Buildings0202Floors22402SAT"
"122","UVA/Data/Buildings/0202/ac_Buildings0202Floors2243SAFSP"
"123","UVA/Data/Buildings/0202/ac_Buildings0202Floors2247HWVO"
"124","UVA/Data/Buildings/0202/ac_Buildings0202Floors2256DO"
"125","UVA/Data/Buildings/0202/ac_Buildings0202Floors2257SAT"
"126","UVA/Data/Buildings/0202/ac_Buildings0202Floors2259ZNT"
"127","UVA/Data/Buildings/0202/ac_Buildings0202Floors2261HWVO"
"128","UVA/Data/Buildings/0202/ac_Buildings0202Floors2261SAT"
"129","UVA/Data/Buildings/0202/ac_Buildings0202Floors2263SAF"
"130","UVA/Data/Buildings/0202/ac_Buildings0202Floors2265HWVO"
"131","UVA/Data/Buildings/0202/ac_Buildings0202Floors2273HWVO"
"132","UVA/Data/Buildings/0202/ac_Buildings0202Floors2281ZNT"
"133","UVA/Data/Buildings/0202/ac_Buildings0202Floors2C210SAF"
"134","UVA/Data/Buildings/0202/ac_Buildings0202Floors2Data RmZNT"
"135","UVA/Data/Buildings/0202/ac_Buildings0202EquipmentAHU2ECHWVO"
"136","UVA/Data/Buildings/0202/ac_Buildings0202EquipmentAHU2ELTALA"
"137","UVA/Data/Buildings/0202/ac_Buildings0202EquipmentAHU2WCHWVO"
"138","UVA/Data/Buildings/0202/ac_Buildings0202EquipmentAHU2WDDSTPSP"
"139","UVA/Data/Buildings/0202/ac_Buildings0202EquipmentAHU2WSFNC"
"140","UVA/Data/Buildings/0202/ac_Buildings0202Floors22031ZNCO2"
"141","UVA/Data/Buildings/0202/ac_Buildings0202Floors22032SAF"
"142","UVA/Data/Buildings/0202/ac_Buildings0202Floors2208SAT"
"143","UVA/Data/Buildings/0202/ac_Buildings0202Floors2211ZNCO2"
"144","UVA/Data/Buildings/0202/ac_Buildings0202Floors2218HWVO"
"145","UVA/Data/Buildings/0202/ac_Buildings0202Floors2231SAF"
"146","UVA/Data/Buildings/0202/ac_Buildings0202Floors22402SAF"
"147","UVA/Data/Buildings/0202/ac_Buildings0202Floors2245DO"
"148","UVA/Data/Buildings/0202/ac_Buildings0202Floors2251DO"
"149","UVA/Data/Buildings/0202/ac_Buildings0202Floors2253DO"
