"","totalHeat.AHU","time","equipment","totalHeat.room","totalHeat"
"28",3.51233591665843,2021-03-01 13:30:00,"AHU2E",54.239202053414,57.7515379700724
"29",3.44958962497063,2021-03-01 14:00:00,"AHU2E",40.1421547135722,43.5917443385428
"30",2.89429390437743,2021-03-01 14:30:00,"AHU2E",41.3401150814281,44.2344089858056
"31",3.25875738921326,2021-03-01 15:00:00,"AHU2E",42.5545205969458,45.8132779861591
"32",3.29219245243827,2021-03-01 15:30:00,"AHU2E",54.5936872795959,57.8858797320342
"33",3.37821402905417,2021-03-01 16:00:00,"AHU2E",38.1688588734033,41.5470729024575
"34",3.18482442125729,2021-03-01 16:30:00,"AHU2E",36.5595122563451,39.7443366776024
"35",3.02869266074511,2021-03-01 17:00:00,"AHU2E",60.8146303450604,63.8433230058055
"36",3.3980293795158,2021-03-01 17:30:00,"AHU2E",44.9036004210847,48.3016298006005
"37",3.54009684110613,2021-03-01 18:00:00,"AHU2E",47.168714378866,50.7088112199721
"38",3.34943835944674,2021-03-01 18:30:00,"AHU2E",58.767399433729,62.1168377931757
"39",2.16804821564178,2021-03-01 19:00:00,"AHU2E",7.62584668422957,9.79389489987135
"40",0.495757938153185,2021-03-01 19:30:00,"AHU2E",0.320274669095076,0.816032607248261
"41",0.592169892850426,2021-03-01 20:00:00,"AHU2E",0.216048861598432,0.808218754448859
"42",0.60169577519795,2021-03-01 20:30:00,"AHU2E",0.143531838290992,0.745227613488942
"43",0.550618060890411,2021-03-01 21:00:00,"AHU2E",0.10449853921403,0.655116600104441
"44",0.524616108199443,2021-03-01 21:30:00,"AHU2E",0.100982287350422,0.625598395549865
"45",0.453778538305843,2021-03-01 22:00:00,"AHU2E",0.097073794067912,0.550852332373755
"46",0.408770038577572,2021-03-01 22:30:00,"AHU2E",0.0981002645608724,0.506870303138445
"47",0.376167038754214,2021-03-01 23:00:00,"AHU2E",0.0963108213186323,0.472477860072846
"48",0.357052027743837,2021-03-01 23:30:00,"AHU2E",0.0921345497429918,0.449186577486829
"49",0.332462175167817,2021-03-02 00:00:00,"AHU2E",0.100346497497777,0.432808672665594
"50",0.323475795610205,2021-03-02 00:30:00,"AHU2E",0.105824897500231,0.429300693110436
"51",0.283245928737024,2021-03-02 01:00:00,"AHU2E",0.112502463172301,0.395748391909325
"52",0.254340584085055,2021-03-02 01:30:00,"AHU2E",0.123339841150986,0.377680425236041
"53",0.233972893804522,2021-03-02 02:00:00,"AHU2E",0.129531507787616,0.363504401592139
"54",0.214475224015889,2021-03-02 02:30:00,"AHU2E",0.123915926518398,0.338391150534287
"55",0.200886803211267,2021-03-02 03:00:00,"AHU2E",0.142458734326136,0.343345537537403
"56",0.177345399993102,2021-03-02 03:30:00,"AHU2E",0.287504135835562,0.464849535828664
"57",0.105244618688757,2021-03-02 04:00:00,"AHU2E",0.279214647179108,0.384459265867865
"58",0.663863469930843,2021-03-02 04:30:00,"AHU2E",0.432910886930162,1.096774356861
"59",1.68863040386213,2021-03-02 05:00:00,"AHU2E",0.761647761525345,2.45027816538747
