sep=;
"Series";"Time";"Value"
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-13T18:02:56-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-14T06:03:02-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-14T09:20:10-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-14T19:03:08-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-15T06:03:12-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-15T18:58:18-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-16T06:03:23-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-16T08:23:45-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-16T08:40:41-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-16T08:52:20-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-16T15:25:42-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-16T19:00:44-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-17T06:05:47-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-17T19:00:52-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-18T06:05:55-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-18T19:06:00-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-19T08:06:04-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-19T18:01:09-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-20T08:01:13-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-20T18:01:16-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-21T06:01:20-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-21T19:01:24-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-22T06:01:29-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-22T19:01:33-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-23T06:01:37-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-25T19:01:56-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-26T08:02:00-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-26T18:02:04-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-27T08:02:09-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-27T18:02:12-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-28T06:02:17-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-28T19:02:22-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-29T06:02:25-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-29T19:02:29-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-30T06:02:32-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-09-30T19:02:37-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-01T06:02:41-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-01T19:02:46-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-02T06:02:50-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-02T19:02:54-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-03T08:02:59-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-03T18:03:02-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-04T08:03:07-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-04T18:03:10-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-05T06:03:15-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-05T19:03:19-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-06T06:03:23-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-06T19:03:28-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-07T06:03:31-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-07T19:03:36-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-08T06:03:40-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-08T19:03:44-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-09T06:03:47-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-09T18:58:51-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-12T19:04:17-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-13T06:04:21-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-13T19:04:25-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-14T06:04:29-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-14T19:04:33-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-15T06:04:38-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-15T12:01:25-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-15T12:03:16-04:00";1
