sep=;
"Series";"Time";"Value"
"occupied {device_id: 0202EquipmentAHU2E}";"2021-01-05T16:13:56-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2021-01-06T09:19:47-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2021-01-06T12:12:33-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2021-01-08T09:07:26-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2021-01-09T05:07:33-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2021-01-10T08:42:35-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2021-01-10T13:18:15-05:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-01T06:06:05-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-01T08:27:17-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-01T08:27:44-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-01T19:06:10-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-02T06:06:14-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-02T19:06:19-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-03T06:01:22-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-03T19:11:27-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-04T06:06:30-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-04T19:16:35-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-05T08:01:39-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-05T18:06:43-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-05T20:56:44-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-05T23:36:44-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-06T08:01:48-04:00";1
