sep=;
"Series";"Time";"Value"
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-09T11:00:00-04:00";458.194
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-09T14:00:00-04:00";438.333
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-09T17:00:00-04:00";433.472
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-09T20:00:00-04:00";432.944
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-09T23:00:00-04:00";435.833
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-10T02:00:00-04:00";439.5
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-10T05:00:00-04:00";448.722
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-10T08:00:00-04:00";461
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-10T11:00:00-04:00";452.972
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-10T14:00:00-04:00";436.583
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-10T17:00:00-04:00";429.917
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-10T20:00:00-04:00";436.028
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-10T23:00:00-04:00";450.056
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-11T02:00:00-04:00";467.583
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-11T05:00:00-04:00";502.583
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-11T08:00:00-04:00";514.722
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-11T11:00:00-04:00";461.139
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-11T14:00:00-04:00";434.667
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-11T17:00:00-04:00";426.306
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-11T20:00:00-04:00";429.389
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-11T23:00:00-04:00";435.556
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-12T02:00:00-04:00";438.806
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-12T05:00:00-04:00";445.056
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-12T08:00:00-04:00";451.139
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-12T11:00:00-04:00";443.389
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-12T14:00:00-04:00";430.028
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-12T17:00:00-04:00";422.889
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-12T20:00:00-04:00";423.667
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-12T23:00:00-04:00";430.444
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-13T02:00:00-04:00";433.528
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-13T05:00:00-04:00";443.389
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-13T08:00:00-04:00";444.139
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-13T11:00:00-04:00";426.472
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-13T14:00:00-04:00";418.861
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-13T17:00:00-04:00";417.5
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-13T20:00:00-04:00";430.639
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-13T23:00:00-04:00";440.361
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-14T02:00:00-04:00";452
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-14T05:00:00-04:00";467.806
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-14T08:00:00-04:00";495.657
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-14T11:00:00-04:00";454.639
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-14T14:00:00-04:00";429.639
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-14T17:00:00-04:00";420.528
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-14T20:00:00-04:00";424.667
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-14T23:00:00-04:00";432.472
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-15T02:00:00-04:00";449.25
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-15T05:00:00-04:00";453.056
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-15T08:00:00-04:00";441
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-15T11:00:00-04:00";431.472
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-15T14:00:00-04:00";416.833
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-15T17:00:00-04:00";409.278
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-15T20:00:00-04:00";406.833
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-15T23:00:00-04:00";409.333
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-16T02:00:00-04:00";424.278
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-16T05:00:00-04:00";476.667
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-16T08:00:00-04:00";463.742
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-16T11:00:00-04:00";434.583
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-16T14:00:00-04:00";420.722
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-16T17:00:00-04:00";413.194
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-16T20:00:00-04:00";407.722
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-16T23:00:00-04:00";422.167
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-17T02:00:00-04:00";436.694
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-17T05:00:00-04:00";458.861
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-17T08:00:00-04:00";451.778
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-17T11:00:00-04:00";440.417
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-17T14:00:00-04:00";445.472
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-17T17:00:00-04:00";436.389
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-17T20:00:00-04:00";435.556
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-17T23:00:00-04:00";434.722
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-18T02:00:00-04:00";437.611
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-18T05:00:00-04:00";441.306
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-18T08:00:00-04:00";435.056
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-18T11:00:00-04:00";416.694
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-18T14:00:00-04:00";426.167
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-18T17:00:00-04:00";421.444
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-18T20:00:00-04:00";424.194
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-18T23:00:00-04:00";431.139
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-19T02:00:00-04:00";424.25
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-19T05:00:00-04:00";427.25
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-19T08:00:00-04:00";421.917
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-19T11:00:00-04:00";418.25
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-19T14:00:00-04:00";415.056
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-19T17:00:00-04:00";417.444
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-19T20:00:00-04:00";402.028
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-19T23:00:00-04:00";407.75
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-20T02:00:00-04:00";414.25
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-20T05:00:00-04:00";436.694
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-20T08:00:00-04:00";441.889
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-20T11:00:00-04:00";425.444
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-20T14:00:00-04:00";422.722
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-20T17:00:00-04:00";421.583
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-20T20:00:00-04:00";413.889
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-20T23:00:00-04:00";422.444
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-21T02:00:00-04:00";431.694
